symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,exchange
AACG,ATA Creativity Global American Depositary Shares,$0.93,0.0099,1.076%,5979,63671539.00,China,2008,Other Consumer Services,Real Estate,/market-activity/stocks/aacg,NASDAQ
AACI,Armada Acquisition Corp. III Class A Ordinary Share,$10.04,-0.01,-0.10%,615,0.00,United States,2026,Blank Checks,Finance,/market-activity/stocks/aaci,NASDAQ
AACIU,Armada Acquisition Corp. III Units,$10.14,0.00,0.00%,50,0.00,United States,2026,Blank Checks,Finance,/market-activity/stocks/aaciu,NASDAQ
AACIW,Armada Acquisition Corp. III Warrant,$0.2103,0.00,0.00%,65,0.00,United States,2026,Blank Checks,Finance,/market-activity/stocks/aaciw,NASDAQ
AACO,Abony Acquisition Corp. I Class A Ordinary Share,$9.97,-0.01,-0.10%,153506,0.00,United States,2026,,,/market-activity/stocks/aaco,NASDAQ
AACOU,Abony Acquisition Corp. I Units,$10.07,-0.18,-1.756%,109,0.00,United States,2026,,,/market-activity/stocks/aacou,NASDAQ
AACOW,Abony Acquisition Corp. I Warrants,$0.37,0.00,0.00%,200,0.00,United States,2026,,,/market-activity/stocks/aacow,NASDAQ
AACP,Apogee Acquisition Corp Class A Ordinary Shares,$10.07,0.00,0.00%,80177,0.00,United States,2026,Blank Checks,Finance,/market-activity/stocks/aacp,NASDAQ
AACPR,Apogee Acquisition Corp Rights,$0.1881,0.0479,34.165%,807,0.00,United States,2026,Blank Checks,Finance,/market-activity/stocks/aacpr,NASDAQ
AACPU,Apogee Acquisition Corp Units,$10.30,-0.42,-3.918%,691,0.00,United States,2026,Blank Checks,Finance,/market-activity/stocks/aacpu,NASDAQ
AACPW,Apogee Acquisition Corp Warrant,$0.1075,0.00,0.00%,80,0.00,United States,2026,Blank Checks,Finance,/market-activity/stocks/aacpw,NASDAQ
AAL,American Airlines Group Inc. Common Stock,$13.43,-0.21,-1.54%,68809575,8890256442.00,United States,,Air Freight/Delivery Services,Consumer Discretionary,/market-activity/stocks/aal,NASDAQ
AAME,Atlantic American Corporation Common Stock,$1.39,-0.02,-1.418%,79822,28352147.00,United States,,Life Insurance,Finance,/market-activity/stocks/aame,NASDAQ
AAOI,Applied Optoelectronics Inc. Common Stock,$107.69,1.46,1.374%,4599743,9143558262.00,United States,2013,Semiconductors,Technology,/market-activity/stocks/aaoi,NASDAQ
AAON,AAON Inc. Common Stock,$75.97,0.10,0.132%,870337,6264002955.00,United States,,Industrial Machinery/Components,Industrials,/market-activity/stocks/aaon,NASDAQ
AAPG,Ascentage Pharma Group International American Depository Shares,$17.10,-1.1761,-6.435%,6068,1595952371.00,China,2025,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aapg,NASDAQ
AAPL,Apple Inc. Common Stock,$316.85,-2.85,-0.891%,41211306,4624165933000.00,United States,1980,Computer Manufacturing,Technology,/market-activity/stocks/aapl,NASDAQ
AARD,Aardvark Therapeutics Inc. Common Stock,$6.10,0.31,5.354%,125451,133497561.00,United States,2025,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aard,NASDAQ
