symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,exchange
A,Agilent Technologies Inc. Common Stock,$153.56,-0.28,-0.182%,2765701,43370249321.00,United States,1999,Biotechnology: Laboratory Analytical Instruments,Industrials,/market-activity/stocks/a,NYSE
AA,Alcoa Corporation Common Stock ,$49.95,-0.37,-0.735%,3305843,13182276778.00,United States,2016,Aluminum,Industrials,/market-activity/stocks/aa,NYSE
AAC,Ares Acquisition Corporation III Class A Ordinary Shares,$10.06,0.00,0.00%,1626,710278856.00,,2026,Metal Fabrications,Industrials,/market-activity/stocks/aac,NYSE
AADX,Applied Aerospace & Defense Inc. Common Stock,$13.20,-0.10,-0.752%,2907707,2275594438.00,,2026,Military/Government/Technical,Industrials,/market-activity/stocks/aadx,NYSE
AAMI,Acadian Asset Management Inc. Common Stock,$94.20,-1.56,-1.629%,560555,3343170058.00,United Kingdom,2014,Investment Managers,Finance,/market-activity/stocks/aami,NYSE
AAP,Advance Auto Parts Inc.,$42.18,-0.72,-1.678%,2722564,2547672000.00,United States,,Auto & Home Supply Stores,Consumer Discretionary,/market-activity/stocks/aap,NYSE
AAT,American Assets Trust Inc. Common Stock,$22.46,0.03,0.134%,659883,1379138624.00,United States,2011,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/aat,NYSE
AAUC,Allied Gold Corporation Common Shares,$23.56,0.20,0.856%,504711,3283036359.00,,2025,,,/market-activity/stocks/aauc,NYSE
AB,AllianceBernstein Holding L.P.  Units,$36.72,-0.16,-0.434%,260759,3417722042.00,United States,,Investment Managers,Finance,/market-activity/stocks/ab,NYSE
ABBV,AbbVie Inc. Common Stock,$256.42,0.94,0.368%,4314980,453124214220.00,United States,2012,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abbv,NYSE
ABCB,Ameris Bancorp Common Stock,$84.25,-1.34,-1.566%,321780,5653784886.00,United States,1994,Major Banks,Finance,/market-activity/stocks/abcb,NYSE
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.87,0.01,0.35%,48483855,45235903230.00,Brazil,2013,Beverages (Production/Distribution),Consumer Staples,/market-activity/stocks/abev,NYSE
ABG,Asbury Automotive Group Inc Common Stock,$211.40,-0.22,-0.104%,132341,3795035254.00,United States,2002,Retail-Auto Dealers and Gas Stations,Consumer Discretionary,/market-activity/stocks/abg,NYSE
ABM,ABM Industries Incorporated Common Stock,$46.63,-0.57,-1.208%,412077,2731628439.00,United States,,Diversified Commercial Services,Consumer Discretionary,/market-activity/stocks/abm,NYSE
ABR,Arbor Realty Trust Common Stock,$5.01,-0.05,-0.988%,3237018,934655795.00,United States,2004,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/abr,NYSE
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,$15.62,-0.079,-0.503%,20955,,United States,,,,/market-activity/stocks/abr^d,NYSE
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,$15.36,-0.09,-0.583%,7725,,United States,,,,/market-activity/stocks/abr^e,NYSE
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,$22.62,0.24,1.072%,14869,,United States,,,,/market-activity/stocks/abr^f,NYSE
ABT,Abbott Laboratories Common Stock,$110.36,-2.11,-1.876%,10691173,190965100547.00,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/abt,NYSE
ABX,Abacus Global Management Inc. Class A Common Stock,$9.60,-0.14,-1.437%,412539,938805590.00,United States,,Investment Managers,Finance,/market-activity/stocks/abx,NYSE
ABXL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,$25.51,0.11,0.433%,10495,1904355862.00,United States,,Investment Managers,Finance,/market-activity/stocks/abxl,NYSE
ACA,Arcosa Inc. Common Stock ,$145.30,0.02,0.014%,582684,7135219348.00,United States,2018,Metal Fabrications,Industrials,/market-activity/stocks/aca,NYSE
ACCO,Acco Brands Corporation Common Stock,$4.28,-0.01,-0.233%,550090,395076391.00,United States,,Publishing,Consumer Discretionary,/market-activity/stocks/acco,NYSE
ACEL,Accel Entertainment Inc. ,$11.64,-0.23,-1.938%,249893,945092049.00,United States,2017,Services-Misc. Amusement & Recreation,Consumer Discretionary,/market-activity/stocks/acel,NYSE
ACH,Accendra Health Inc. Common Stock,$1.21,0.00,0.00%,1007607,93054692.00,United States,,Medical Specialities,Health Care,/market-activity/stocks/ach,NYSE
ACHR,Archer Aviation Inc. Class A Common Stock,$5.78,0.03,0.522%,28516807,4498487722.00,United States,2020,Aerospace,Industrials,/market-activity/stocks/achr,NYSE
ACI,Albertsons Companies Inc. Class A Common Stock,$12.35,-0.18,-1.437%,7748441,5993772185.00,United States,2020,Food Chains,Consumer Staples,/market-activity/stocks/aci,NYSE
ACM,AECOM Common Stock,$67.43,-1.74,-2.516%,4670949,8677999938.00,United States,2007,Military/Government/Technical,Consumer Discretionary,/market-activity/stocks/acm,NYSE
ACN,Accenture plc Class A Ordinary Shares (Ireland),$189.76,0.15,0.079%,4193995,126666737450.00,Ireland,2001,Business Services,Consumer Discretionary,/market-activity/stocks/acn,NYSE
ACP,abrdn Income Credit Strategies Fund Common Shares,$5.07,-0.05,-0.977%,626716,0.00,United States,2011,Investment Managers,Finance,/market-activity/stocks/acp,NYSE
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,$18.92,-0.26,-1.356%,2959,,United States,,,,/market-activity/stocks/acp^a,NYSE
ACR,ACRES Commercial Realty Corp. Common Stock,$13.93,-0.03,-0.215%,19057,187393172.00,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/acr,NYSE
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,$24.15,-0.05,-0.207%,231581,,United States,,,,/market-activity/stocks/acr^c,NYSE
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,$20.40,-0.095,-0.464%,2858,,United States,,,,/market-activity/stocks/acr^d,NYSE
ACRE,Ares Commercial Real Estate Corporation Common Stock,$4.57,-0.08,-1.72%,294390,253548686.00,United States,2012,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/acre,NYSE
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$26.20,-0.25,-0.945%,32822,271509395.00,United States,2015,Finance/Investors Services,Finance,/market-activity/stocks/acv,NYSE
ACVA,ACV Auctions Inc. Class A Common Stock,$7.03,-0.13,-1.816%,3504061,1193750099.00,United States,2025,Business Services,Consumer Discretionary,/market-activity/stocks/acva,NYSE
AD,Array Digital Infrastructure Inc. Common Shares,$36.66,0.66,1.833%,154564,3171090000.00,United States,1988,Telecommunications Equipment,Telecommunications,/market-activity/stocks/ad,NYSE
ADC,Agree Realty Corporation Common Stock,$72.25,-0.95,-1.298%,1234097,8986405148.00,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/adc,NYSE
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,$16.80,0.00,0.00%,15596,,United States,,,,/market-activity/stocks/adc^a,NYSE
ADCT,ADC Therapeutics SA Common Shares,$1.17,0.03,2.632%,1251524,149371203.00,Switzerland,2020,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adct,NYSE
ADIG,ADI Global Distribution Inc. Common Stock,$21.87,-0.24,-1.085%,1136865,1660440340.00,United States,2026,Wholesale Distributors,Industrials,/market-activity/stocks/adig,NYSE
ADM,Archer-Daniels-Midland Company Common Stock,$81.29,-0.25,-0.307%,5425781,39178494502.00,United States,,Packaged Foods,Consumer Staples,/market-activity/stocks/adm,NYSE
ADNT,Adient plc Ordinary Shares ,$18.97,-0.09,-0.472%,679452,1462528800.00,United States,2016,Auto Parts:O.E.M.,Consumer Discretionary,/market-activity/stocks/adnt,NYSE
ADT,ADT Inc. Common Stock,$7.39,-0.15,-1.989%,8089083,5398832843.00,United States,2018,Diversified Commercial Services,Consumer Discretionary,/market-activity/stocks/adt,NYSE
ADX,Adams Diversified Equity Fund Inc.,$25.89,-0.07,-0.27%,274085,0.00,United States,,Investment Managers,Finance,/market-activity/stocks/adx,NYSE
AEE,Ameren Corporation Common Stock,$106.01,-0.11,-0.104%,1253338,29348153039.00,United States,,Power Generation,Utilities,/market-activity/stocks/aee,NYSE
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,$17.77,-0.33,-1.823%,106003,0.00,United States,2019,,,/market-activity/stocks/aefc,NYSE
AEG,Aegon Ltd. New York Registry Shares,$9.14,-0.05,-0.544%,4832996,17447807661.00,Netherlands,,Life Insurance,Finance,/market-activity/stocks/aeg,NYSE
AEM,Agnico Eagle Mines Limited Common Stock,$203.11,-3.14,-1.522%,3870724,103090714304.00,Canada,,Precious Metals,Basic Materials,/market-activity/stocks/aem,NYSE
AEO,American Eagle Outfitters Inc. Common Stock,$16.63,-0.24,-1.423%,4995272,2786744528.00,United States,,Clothing/Shoe/Accessory Stores,Consumer Discretionary,/market-activity/stocks/aeo,NYSE
AER,AerCap Holdings N.V. Ordinary Shares,$145.94,-1.55,-1.051%,1645398,22537523686.00,Netherlands,2006,Diversified Commercial Services,Consumer Discretionary,/market-activity/stocks/aer,NYSE
AERO,Grupo Aeromexico S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares),$14.51,-0.14,-0.956%,566790,2117058465.00,,2025,Air Freight/Delivery Services,Consumer Discretionary,/market-activity/stocks/aero,NYSE
AES,The AES Corporation Common Stock,$14.74,0.01,0.068%,9090988,10516085406.00,United States,,Electric Utilities: Central,Industrials,/market-activity/stocks/aes,NYSE
AESI,Atlas Energy Solutions Inc. Common Stock,$13.10,0.25,1.946%,2428681,1637545208.00,United States,2023,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Industrials,/market-activity/stocks/aesi,NYSE
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,$11.67,0.17,1.478%,29110,0.00,,2025,,,/market-activity/stocks/aexa,NYSE
AFB,AllianceBernstein National Municipal Income Fund Inc,$10.90,0.00,0.00%,54493,0.00,United States,2002,Trusts Except Educational Religious and Charitable,Finance,/market-activity/stocks/afb,NYSE
AFG,American Financial Group Inc. Common Stock,$142.55,-1.07,-0.745%,353788,11820454978.00,United States,,Property-Casualty Insurers,Finance,/market-activity/stocks/afg,NYSE
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,$20.45,-0.233,-1.127%,9206,1695743980.00,United States,2019,Property-Casualty Insurers,Finance,/market-activity/stocks/afgb,NYSE
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,$18.03,-0.015,-0.083%,28132,1495074032.00,United States,2019,Property-Casualty Insurers,Finance,/market-activity/stocks/afgc,NYSE
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,$20.74,-0.22,-1.05%,25621,1719791205.00,United States,2020,Property-Casualty Insurers,Finance,/market-activity/stocks/afgd,NYSE
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,$16.10,-0.14,-0.862%,10910,1335035603.00,United States,2020,Property-Casualty Insurers,Finance,/market-activity/stocks/afge,NYSE
AFL,AFLAC Incorporated Common Stock,$115.85,-0.67,-0.575%,3853131,58080621073.00,United States,,Accident &Health Insurance,Finance,/market-activity/stocks/afl,NYSE
AG,First Majestic Silver Corp. Ordinary Shares (Canada),$20.59,-0.17,-0.819%,6944973,10148942426.00,Canada,,Precious Metals,Basic Materials,/market-activity/stocks/ag,NYSE
AGBK,AGI Inc Class A Common Shares,$6.21,0.06,0.976%,224705,994438797.00,Cayman Islands,2026,Commercial Banks,Finance,/market-activity/stocks/agbk,NYSE
AGCO,AGCO Corporation Common Stock,$118.31,4.92,4.339%,1807560,8285453858.00,United States,,Industrial Machinery/Components,Industrials,/market-activity/stocks/agco,NYSE
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,$12.50,-0.10,-0.794%,78236,0.00,United States,2006,Trusts Except Educational Religious and Charitable,Finance,/market-activity/stocks/agd,NYSE
AGI,Alamos Gold Inc. Class A Common Shares,$36.61,-0.14,-0.381%,3175899,15374933697.00,Canada,2015,Precious Metals,Basic Materials,/market-activity/stocks/agi,NYSE
AGL,agilon health inc. Common Stock,$87.89,-4.65,-5.025%,457336,1475779447.00,United States,2021,Misc Health and Biotechnology Services,Health Care,/market-activity/stocks/agl,NYSE
AGM,Federal Agricultural Mortgage Corporation Common Stock,$219.90,-1.53,-0.691%,64285,2386620879.00,United States,,Finance Companies,Finance,/market-activity/stocks/agm,NYSE
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,$21.12,0.11,0.524%,1395,,United States,,,,/market-activity/stocks/agm^d,NYSE
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,$20.76,-0.01,-0.048%,1536,,United States,,,,/market-activity/stocks/agm^e,NYSE
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,$18.74,-0.015,-0.08%,19555,,United States,,,,/market-activity/stocks/agm^f,NYSE
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,$17.45,-0.0399,-0.228%,10136,,United States,,,,/market-activity/stocks/agm^g,NYSE
AGM^H,Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock Series H,$23.41,0.11,0.472%,3045,,United States,,,,/market-activity/stocks/agm^h,NYSE
